month,min_temperature (F),max_temperature (F),rainfall (mm),rainy_days
1,57,66,25,9
2,59,68,30,11
3,65,74,40,15
4,72,80,90,13
5,75,89,180,14
6,77,91,240,15
7,77,90,280,16
8,78,90,325,17
9,76,85,270,14
10,72,77,130,9
11,66,77,50,8
12,61,72,30,7
